18
0	1	double	2000
0	2	double	2000
0	7	double	2000
1	3	double	2000
2	3	double	2000
2	4	double	2000
2	6	double	2000
3	9	double	2000
3	11	double	2000
4	6	double	2000
5	9	double	2000
5	12	double	2000
6	7	double	2000
6	8	double	2000
6	15	double	2000
7	8	double	2000
7	9	double	2000
7	10	double	2000
7	15	double	2000
8	9	double	2000
9	11	double	2000
10	14	double	2000
11	12	double	2000
11	16	double	2000
12	13	double	2000
13	16	double	2000
14	15	double	2000
15	16	double	2000
15	17	double	2000
16	17	double	2000
