50
0	2	double	1000
1	4	double	1000
2	6	double	1000
7	9	double	1000
7	10	double	1000
9	10	double	1000
1	11	double	1000
7	11	double	1000
9	11	double	1000
10	11	double	1000
7	13	double	1000
10	13	double	1000
11	13	double	1000
7	14	double	1000
9	15	double	1000
11	15	double	1000
3	16	double	1000
8	16	double	1000
1	17	double	1000
9	17	double	1000
13	17	double	1000
15	17	double	1000
8	18	double	1000
5	19	double	1000
6	20	double	1000
14	20	double	1000
16	21	double	1000
20	21	double	1000
1	22	double	1000
2	22	double	1000
4	22	double	1000
9	22	double	1000
17	22	double	1000
3	23	double	1000
0	24	double	1000
18	24	double	1000
2	25	double	1000
5	25	double	1000
6	25	double	1000
7	25	double	1000
9	25	double	1000
19	25	double	1000
6	26	double	1000
8	26	double	1000
14	26	double	1000
18	26	double	1000
24	26	double	1000
16	28	double	1000
20	28	double	1000
24	28	double	1000
19	29	double	1000
25	29	double	1000
27	29	double	1000
19	30	double	1000
2	31	double	1000
4	31	double	1000
20	32	double	1000
28	32	double	1000
30	32	double	1000
0	33	double	1000
1	33	double	1000
18	33	double	1000
1	34	double	1000
12	34	double	1000
17	34	double	1000
31	35	double	1000
32	35	double	1000
10	36	double	1000
11	36	double	1000
17	36	double	1000
2	37	double	1000
4	37	double	1000
6	37	double	1000
22	37	double	1000
33	37	double	1000
34	37	double	1000
4	38	double	1000
22	38	double	1000
23	38	double	1000
33	38	double	1000
10	39	double	1000
11	39	double	1000
15	39	double	1000
25	39	double	1000
29	39	double	1000
36	39	double	1000
16	40	double	1000
23	40	double	1000
31	40	double	1000
38	40	double	1000
2	41	double	1000
6	41	double	1000
8	41	double	1000
16	41	double	1000
35	41	double	1000
6	42	double	1000
32	42	double	1000
41	42	double	1000
10	43	double	1000
34	43	double	1000
13	44	double	1000
19	44	double	1000
10	45	double	1000
13	45	double	1000
39	45	double	1000
5	46	double	1000
7	46	double	1000
19	46	double	1000
27	46	double	1000
29	46	double	1000
43	46	double	1000
44	46	double	1000
15	47	double	1000
19	47	double	1000
27	47	double	1000
1	48	double	1000
10	48	double	1000
15	48	double	1000
32	48	double	1000
36	48	double	1000
1	49	double	1000
4	49	double	1000
