20
0	1	double	10000
0	9	double	10000
1	2	double	10000
2	3	double	10000
2	10	double	10000
2	11	double	1000
2	17	double	10000
4	9	double	10000
4	12	double	10000
5	6	double	10000
5	9	double	10000
6	9	double	10000
6	10	double	10000
7	9	double	10000
7	10	double	10000
8	9	double	10000
8	10	double	10000
9	10	double	10000
9	14	double	10000
10	11	double	1000
10	15	double	10000
11	13	double	1000
12	13	double	1000
12	14	double	10000
13	14	double	1000
14	15	double	10000
14	16	double	1000
14	17	double	10000
14	19	double	10000
16	17	double	1000
17	18	double	10000
17	19	double	10000
