32
1	2	double	2000
1	3	double	2000
2	3	double	2000
2	9	double	2000
2	10	double	2000
3	4	double	2000
3	5	double	2000
3	11	double	2000
4	5	double	2000
5	6	double	2000
5	7	double	2000
5	16	double	2000
6	13	double	2000
6	17	double	2000
7	9	double	2000
7	13	double	2000
8	9	double	2000
8	11	double	2000
9	14	double	2000
10	11	double	2000
10	18	double	2000
11	12	double	2000
11	14	double	2000
11	19	double	2000
12	15	double	2000
13	14	double	2000
13	17	double	2000
14	15	double	2000
14	16	double	2000
14	26	double	2000
15	20	double	2000
16	17	double	2000
16	31	double	2000
18	19	double	2000
18	21	double	2000
19	20	double	2000
19	24	double	2000
20	26	double	2000
21	22	double	2000
22	23	double	2000
22	24	double	2000
23	25	double	2000
24	25	double	2000
24	27	double	2000
25	27	double	2000
25	29	double	2000
26	27	double	2000
26	31	double	2000
27	28	double	2000
28	29	double	2000
28	30	double	2000
28	31	double	2000
30	32	double	2000
31	32	double	2000
