0	19	8	40	0	4868
1	3	16	40	10	1833
2	5	13	160	20	1481
3	15	0	160	30	1721
4	5	13	40	40	4688
5	4	7	40	50	2511
6	5	13	160	60	996
7	0	18	120	70	4849
8	15	0	120	80	9356
9	1	11	80	90	2620
10	5	13	160	100	4171
11	19	8	160	110	8312
12	19	8	120	120	634
13	4	7	120	130	4861
14	1	11	120	140	360
15	3	16	120	150	2747
16	1	11	40	160	524
17	19	8	160	170	590
18	0	18	160	180	629
19	1	11	160	190	3569
20	0	18	160	200	1544
21	3	16	80	210	2750
22	3	16	160	220	3829
23	3	16	80	230	2123
24	19	8	160	240	2599
25	15	0	160	250	11396
26	4	7	80	260	1394
27	4	7	80	270	331
28	4	7	120	280	5138
29	3	16	80	290	3072
30	3	16	160	300	8214
31	6	19	120	310	899
32	3	16	120	320	223
33	15	0	80	330	2608
34	15	0	80	340	1077
35	0	18	80	350	198
36	15	0	80	360	1857
37	19	8	80	370	2105
38	1	11	160	380	9507
39	5	13	160	400	1489
40	5	13	80	411	7058
41	5	13	40	422	860
42	3	16	120	433	7135
43	6	19	160	444	6788
44	15	0	80	455	874
45	0	18	120	466	3946
46	6	19	120	477	3947
47	0	18	160	488	682
48	6	19	80	499	11547
49	1	11	160	510	104
50	6	19	80	521	3807
51	0	18	40	532	20032
52	19	8	80	543	5726
53	6	19	160	554	4946
54	1	11	160	565	10664
55	6	19	120	576	926
56	0	18	40	587	5570
57	3	16	80	598	9116
58	15	0	40	609	8216
59	6	19	80	620	5516
60	0	18	120	631	754
61	1	11	120	642	607
62	5	13	40	653	15504
63	4	7	40	664	1832
64	19	8	80	675	3755
65	19	8	40	686	2364
66	6	19	40	697	6868
67	0	18	80	708	4404
68	6	19	80	719	2518
69	1	11	40	730	153
70	5	13	80	741	535
71	3	16	160	752	5001
72	15	0	160	763	1046
73	4	7	160	774	7204
74	5	13	120	785	5734
75	4	7	120	800	542
76	19	8	160	808	4377
77	5	13	40	816	6423
78	4	7	40	824	970
79	19	8	40	832	7608
80	1	11	80	840	1512
81	3	16	80	848	591
82	6	19	160	856	581
83	3	16	160	864	4780
84	6	19	40	872	10207
85	1	11	120	880	8428
86	6	19	80	888	2320
87	6	19	160	896	1691
88	6	19	80	904	3181
89	1	11	120	912	119
90	19	8	40	920	1409
91	4	7	160	928	2568
92	0	18	80	936	3084
93	4	7	120	944	692
94	5	13	40	952	598
95	4	7	120	960	4657
96	0	18	40	968	964
97	19	8	80	976	2498
98	15	0	120	984	931
99	15	0	40	992	5546
100	3	16	80	1000	6575
101	5	13	40	1008	12857
102	4	7	120	1016	4680
103	4	7	80	1024	9487
104	5	13	120	1032	9231
105	3	16	80	1040	9227
106	1	11	80	1048	5761
107	5	13	80	1056	10425
108	0	18	40	1064	11833
109	15	0	80	1072	6511
110	6	19	160	1080	3118
111	5	13	40	1088	12166
112	15	0	40	1096	4584
113	19	8	160	1104	85
114	4	7	40	1112	2272
115	15	0	80	1120	140
116	4	7	160	1128	22
117	1	11	40	1136	1324
118	15	0	40	1144	2358
119	6	19	160	1152	5245
120	3	16	160	1160	24
121	0	18	80	1168	2582
122	4	7	40	1200	506
123	5	13	120	1208	2302
124	3	16	160	1216	5397
125	0	18	80	1224	4216
126	3	16	120	1232	774
127	3	16	80	1240	295
128	19	8	160	1248	4762
129	1	11	160	1256	306
130	4	7	120	1264	9747
131	0	18	80	1272	896
132	6	19	120	1280	3580
133	5	13	40	1288	2505
134	5	13	120	1296	179
135	5	13	80	1304	1753
136	15	0	160	1312	2375
137	3	16	120	1320	1038
138	6	19	80	1328	6374
139	3	16	160	1336	87
140	0	18	40	1344	489
141	1	11	160	1352	2886
142	5	13	120	1360	2021
143	15	0	40	1368	5465
144	4	7	160	1376	2678
145	4	7	40	1384	1690
146	5	13	120	1392	6275
147	1	11	80	1400	2906
148	0	18	120	1408	5173
149	15	0	160	1416	441
150	0	18	120	1424	4587
151	15	0	160	1432	10770
152	0	18	80	1440	76
153	1	11	160	1448	2594
154	5	13	40	1456	5449
155	3	16	40	1464	1608
156	1	11	160	1472	7355
157	19	8	160	1480	1161
158	1	11	80	1488	726
159	4	7	40	1496	1145
160	0	18	160	1504	5154
161	19	8	40	1512	4710
162	5	13	120	1520	1046
163	19	8	40	1528	8299
164	3	16	120	1536	8868
165	6	19	120	1544	1665
166	15	0	120	1552	1789
167	3	16	40	1560	976
168	3	16	40	1568	15104
169	19	8	160	1576	326
170	19	8	80	1584	3533
171	0	18	80	1592	5999
172	4	7	160	1600	2655
173	4	7	80	1611	2205
174	6	19	120	1622	3821
175	0	18	40	1633	2709
176	4	7	160	1644	328
177	5	13	40	1655	1872
178	1	11	160	1666	11940
179	15	0	160	1677	2015
180	5	13	160	1688	7858
181	1	11	40	1699	4311
182	3	16	120	1710	1695
183	1	11	160	1721	3581
184	0	18	80	1732	1985
185	5	13	160	1743	15702
186	19	8	160	1754	802
187	5	13	120	1765	484
188	19	8	160	1776	5113
189	3	16	120	1787	4990
190	4	7	80	1798	2886
191	19	8	160	1809	871
192	0	18	40	1820	258
193	1	11	40	1831	3174
194	3	16	160	1842	1411
195	0	18	40	1853	2201
196	5	13	80	1864	1335
197	6	19	80	1875	2954
198	5	13	80	1886	7694
199	6	19	40	1897	638
200	5	13	80	1908	16529
201	3	16	80	1919	3423
202	15	0	40	1930	3100
203	0	18	160	1941	4168
204	15	0	80	1952	2917
205	19	8	80	1963	9436
206	3	16	160	1974	2370
207	6	19	40	2000	3617
208	5	13	40	2011	7921
209	4	7	40	2022	1160
210	15	0	80	2033	1162
211	5	13	160	2044	2518
212	6	19	40	2055	1441
213	3	16	120	2066	5883
214	19	8	80	2077	1971
215	15	0	120	2088	267
216	6	19	80	2099	1701
217	3	16	120	2110	4071
218	15	0	160	2121	2639
219	6	19	160	2132	9667
220	15	0	120	2143	692
221	3	16	160	2154	1132
222	3	16	40	2165	2733
